Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR4342137.1	51.03773789555195	44.0	101.0	36.36363636363637	1304686.0
SRR4342137.2	43.616861461211606	44.0	101.0	36.36363636363637	1304686.0
SRR4342137_paired_forward	32.46150063887043	42.0	94.97197288548065	0.0	440502.0
SRR4342137_paired_reverse	28.032155464600308	42.0	93.7520192870861	0.0	440502.0
SRR4342137_unpaired_forward	19.645399703045612	44.0	81.88847767086109	0.0	239127.0
SRR4342137_unpaired_reverse	11.922051122315878	43.0	81.90990324527421	0.0	51367.0
SRR4342139.1	60.33826223096438	44.0	101.0	45.45454545454545	1213040.0
SRR4342139.2	52.214007656106766	44.0	101.0	54.54545454545454	1213040.0
SRR4342139_paired_forward	39.83593786580981	42.0	95.67917994034184	0.0	374802.0
SRR4342139_paired_reverse	35.10102983722237	42.0	94.08881489426417	0.0	374802.0
SRR4342139_unpaired_forward	21.977711381725797	43.0	82.78324771138321	0.0	207112.0
SRR4342139_unpaired_reverse	8.644702459524254	43.0	81.99525874841734	0.0	37121.0
