All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    1            
    # relocations                  0            
    # translocations               0            
    # inversions                   0            
    # interspecies translocations  1            
# misassembled contigs             1            
Misassembled contigs length        513          
# possibly misassembled contigs    0            
    # possible misassemblies       0            
# local misassemblies              3            
# unaligned mis. contigs           3            
# mismatches                       1187         
# indels                           86           
    # indels (<= 5 bp)             84           
    # indels (> 5 bp)              2            
Indels length                      132          
