Assembly	bin_18
# contigs (>= 0 bp)	41
# contigs (>= 1000 bp)	41
# contigs (>= 5000 bp)	37
# contigs (>= 10000 bp)	34
# contigs (>= 25000 bp)	24
# contigs (>= 50000 bp)	13
Total length (>= 0 bp)	1667638
Total length (>= 1000 bp)	1667638
Total length (>= 5000 bp)	1651857
Total length (>= 10000 bp)	1627330
Total length (>= 25000 bp)	1436800
Total length (>= 50000 bp)	1025167
# contigs	41
Largest contig	123513
Total length	1667638
GC (%)	41.00
N50	54509
N75	35355
L50	10
L75	19
# N's per 100 kbp	0.00
