Assemblies                                         final.contigs
Aminobacter_sp._J41                                4            
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        12           
Coraliomargarita_akajimensis_DSM_45221             7            
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  8            
Ilumatobacter_fluminis                             17           
Ilumatobacter_nonamiensis_YM16-303                 14           
Luminiphilus_syltensis_NOR5-1B                     36           
Lutimaribacter_pacificus                           22           
Oceanibaculum_pacificum                            1            
Oceanicola_granulosus_HTCC2516                     13           
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        5            
Psychrobacter_sp._PRwf-1                           7            
Psychroserpens_sp._PAMC_27130                      10           
Roseobacter_sp._SK209-2-6                          20           
Shewanella_amazonensis_SB2B                        5            
Spongiibacter_tropicus_DSM_19543                   8            
Syntrophus_aciditrophicus                          2            
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            11           
Vibrio_proteolyticus_NBRC_13287                    6            
gamma_proteobacterium_SCGC_AB-629-P17              17           
marine_gamma_proteobacterium_HTCC2143              5            
not_aligned                                        178707       
