Assemblies                                         final.contigs
Aminobacter_sp._J41                                5604         
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        71579        
Coraliomargarita_akajimensis_DSM_45221             6816         
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  13769        
Ilumatobacter_fluminis                             64464        
Ilumatobacter_nonamiensis_YM16-303                 26911        
Luminiphilus_syltensis_NOR5-1B                     78036        
Lutimaribacter_pacificus                           38934        
Oceanibaculum_pacificum                            925          
Oceanicola_granulosus_HTCC2516                     18367        
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        134965       
Psychrobacter_sp._PRwf-1                           131501       
Psychroserpens_sp._PAMC_27130                      36895        
Roseobacter_sp._SK209-2-6                          21086        
Shewanella_amazonensis_SB2B                        7229         
Spongiibacter_tropicus_DSM_19543                   13699        
Syntrophus_aciditrophicus                          3714         
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            114852       
Vibrio_proteolyticus_NBRC_13287                    62064        
gamma_proteobacterium_SCGC_AB-629-P17              23435        
marine_gamma_proteobacterium_HTCC2143              94270        
not_aligned                                        217026444    
