Assemblies	final.contigs
Aminobacter_sp._J41	0.006
Bacillus_thuringiensis_BMB171	-
Blastopirellula_marina	-
Chromatocurvus_halotolerans	0.029
Coraliomargarita_akajimensis_DSM_45221	0.004
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	0.011
Ilumatobacter_fluminis	0.037
Ilumatobacter_nonamiensis_YM16-303	0.061
Luminiphilus_syltensis_NOR5-1B	0.169
Lutimaribacter_pacificus	0.081
Oceanibaculum_pacificum	0.002
Oceanicola_granulosus_HTCC2516	0.025
Photobacterium_halotolerans	-
Planctomyces_maris_DSM_8797	0.002
Psychrobacter_sp._PRwf-1	0.013
Psychroserpens_sp._PAMC_27130	0.043
Roseobacter_sp._SK209-2-6	0.057
Shewanella_amazonensis_SB2B	0.011
Spongiibacter_tropicus_DSM_19543	0.008
Syntrophus_aciditrophicus	0.005
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	0.016
Vibrio_proteolyticus_NBRC_13287	0.061
gamma_proteobacterium_SCGC_AB-629-P17	0.445
marine_gamma_proteobacterium_HTCC2143	0.018
