Assembly	bin_23
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	5144
Total length (>= 5000 bp)	5144
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	5144
Total length	5144
Reference length	4282232
GC (%)	63.76
Reference GC (%)	66.99
N50	5144
N75	5144
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 1 part
Unaligned length	5048
Genome fraction (%)	0.002
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2083.33
# indels per 100 kbp	0.00
Largest alignment	96
Total aligned length	96
NGA50	-
