Assemblies                                         final.contigs
Aminobacter_sp._J41                                3.780        
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        2.199        
Coraliomargarita_akajimensis_DSM_45221             14.719       
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  3.297        
Ilumatobacter_fluminis                             2.506        
Ilumatobacter_nonamiensis_YM16-303                 1.655        
Luminiphilus_syltensis_NOR5-1B                     1.735        
Lutimaribacter_pacificus                           1.700        
Oceanibaculum_pacificum                            1.000        
Oceanicola_granulosus_HTCC2516                     3.434        
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        8.799        
Psychrobacter_sp._PRwf-1                           1.636        
Psychroserpens_sp._PAMC_27130                      1.903        
Roseobacter_sp._SK209-2-6                          2.691        
Shewanella_amazonensis_SB2B                        1.996        
Spongiibacter_tropicus_DSM_19543                   5.628        
Syntrophus_aciditrophicus                          1.000        
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            4.379        
Vibrio_proteolyticus_NBRC_13287                    1.056        
gamma_proteobacterium_SCGC_AB-629-P17              1.565        
marine_gamma_proteobacterium_HTCC2143              1.097        
