Assemblies                                         final.contigs
Aminobacter_sp._J41                                145          
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        219          
Coraliomargarita_akajimensis_DSM_45221             84           
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  189          
Ilumatobacter_fluminis                             577          
Ilumatobacter_nonamiensis_YM16-303                 1270         
Luminiphilus_syltensis_NOR5-1B                     1456         
Lutimaribacter_pacificus                           920          
Oceanibaculum_pacificum                            77           
Oceanicola_granulosus_HTCC2516                     259          
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        82           
Psychrobacter_sp._PRwf-1                           144          
Psychroserpens_sp._PAMC_27130                      654          
Roseobacter_sp._SK209-2-6                          642          
Shewanella_amazonensis_SB2B                        158          
Spongiibacter_tropicus_DSM_19543                   89           
Syntrophus_aciditrophicus                          96           
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            89           
Vibrio_proteolyticus_NBRC_13287                    1430         
gamma_proteobacterium_SCGC_AB-629-P17              4113         
marine_gamma_proteobacterium_HTCC2143              452          
