Assemblies                                         final.contigs
Aminobacter_sp._J41                                3861.00      
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        1595.74      
Coraliomargarita_akajimensis_DSM_45221             1875.00      
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  1840.49      
Ilumatobacter_fluminis                             2200.90      
Ilumatobacter_nonamiensis_YM16-303                 3297.55      
Luminiphilus_syltensis_NOR5-1B                     2790.36      
Lutimaribacter_pacificus                           1775.31      
Oceanibaculum_pacificum                            1298.70      
Oceanicola_granulosus_HTCC2516                     1472.03      
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        1257.86      
Psychrobacter_sp._PRwf-1                           1282.05      
Psychroserpens_sp._PAMC_27130                      3014.75      
Roseobacter_sp._SK209-2-6                          2268.36      
Shewanella_amazonensis_SB2B                        2531.65      
Spongiibacter_tropicus_DSM_19543                   1250.00      
Syntrophus_aciditrophicus                          2339.18      
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            177.94       
Vibrio_proteolyticus_NBRC_13287                    2495.67      
gamma_proteobacterium_SCGC_AB-629-P17              2351.27      
marine_gamma_proteobacterium_HTCC2143              994.32       
