Assemblies	final.contigs
Aminobacter_sp._J41	0
Bacillus_thuringiensis_BMB171	-
Blastopirellula_marina	-
Chromatocurvus_halotolerans	0
Coraliomargarita_akajimensis_DSM_45221	0
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	0
Ilumatobacter_fluminis	0
Ilumatobacter_nonamiensis_YM16-303	0
Luminiphilus_syltensis_NOR5-1B	0
Lutimaribacter_pacificus	0
Oceanibaculum_pacificum	0
Oceanicola_granulosus_HTCC2516	0
Photobacterium_halotolerans	-
Planctomyces_maris_DSM_8797	89244
Psychrobacter_sp._PRwf-1	109683
Psychroserpens_sp._PAMC_27130	0
Roseobacter_sp._SK209-2-6	0
Shewanella_amazonensis_SB2B	0
Spongiibacter_tropicus_DSM_19543	0
Syntrophus_aciditrophicus	0
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	0
Vibrio_proteolyticus_NBRC_13287	56917
gamma_proteobacterium_SCGC_AB-629-P17	0
marine_gamma_proteobacterium_HTCC2143	74564
