Assembly	final.contigs
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	4029
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	2257
Total length	5604
Reference length	4234633
GC (%)	43.33
Reference GC (%)	63.34
N50	1772
N75	984
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 3 part
Unaligned length	4625
Genome fraction (%)	0.006
Duplication ratio	3.780
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3861.00
# indels per 100 kbp	0.00
Largest alignment	145
Total aligned length	504
NGA50	-
