Assemblies                                         final.contigs
Aminobacter_sp._J41                                0.00         
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        354.61       
Coraliomargarita_akajimensis_DSM_45221             0.00         
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  0.00         
Ilumatobacter_fluminis                             338.60       
Ilumatobacter_nonamiensis_YM16-303                 268.40       
Luminiphilus_syltensis_NOR5-1B                     181.19       
Lutimaribacter_pacificus                           55.48        
Oceanibaculum_pacificum                            0.00         
Oceanicola_granulosus_HTCC2516                     98.14        
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        0.00         
Psychrobacter_sp._PRwf-1                           0.00         
Psychroserpens_sp._PAMC_27130                      128.29       
Roseobacter_sp._SK209-2-6                          269.13       
Shewanella_amazonensis_SB2B                        0.00         
Spongiibacter_tropicus_DSM_19543                   0.00         
Syntrophus_aciditrophicus                          0.00         
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            711.74       
Vibrio_proteolyticus_NBRC_13287                    138.65       
gamma_proteobacterium_SCGC_AB-629-P17              315.61       
marine_gamma_proteobacterium_HTCC2143              142.05       
