Assembly	final.contigs
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	14082
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2884
Total length	21086
Reference length	4555826
GC (%)	49.54
Reference GC (%)	57.02
N50	1440
N75	655
L50	6
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 11 part
Unaligned length	14088
Genome fraction (%)	0.057
Duplication ratio	2.691
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2268.36
# indels per 100 kbp	269.13
Largest alignment	642
Total aligned length	3195
NGA50	-
