Assemblies	final.contigs
Aminobacter_sp._J41	504
Bacillus_thuringiensis_BMB171	-
Blastopirellula_marina	-
Chromatocurvus_halotolerans	1269
Coraliomargarita_akajimensis_DSM_45221	575
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	707
Ilumatobacter_fluminis	2446
Ilumatobacter_nonamiensis_YM16-303	2929
Luminiphilus_syltensis_NOR5-1B	6939
Lutimaribacter_pacificus	3914
Oceanibaculum_pacificum	77
Oceanicola_granulosus_HTCC2516	1265
Photobacterium_halotolerans	-
Planctomyces_maris_DSM_8797	388
Psychrobacter_sp._PRwf-1	638
Psychroserpens_sp._PAMC_27130	1881
Roseobacter_sp._SK209-2-6	3195
Shewanella_amazonensis_SB2B	474
Spongiibacter_tropicus_DSM_19543	637
Syntrophus_aciditrophicus	171
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	890
Vibrio_proteolyticus_NBRC_13287	2966
gamma_proteobacterium_SCGC_AB-629-P17	7592
marine_gamma_proteobacterium_HTCC2143	772
