Assemblies	final.contigs
Aminobacter_sp._J41	4029
Bacillus_thuringiensis_BMB171	-
Blastopirellula_marina	-
Chromatocurvus_halotolerans	68695
Coraliomargarita_akajimensis_DSM_45221	2190
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	11212
Ilumatobacter_fluminis	59423
Ilumatobacter_nonamiensis_YM16-303	23078
Luminiphilus_syltensis_NOR5-1B	66580
Lutimaribacter_pacificus	32359
Oceanibaculum_pacificum	0
Oceanicola_granulosus_HTCC2516	13777
Photobacterium_halotolerans	-
Planctomyces_maris_DSM_8797	133794
Psychrobacter_sp._PRwf-1	130792
Psychroserpens_sp._PAMC_27130	32212
Roseobacter_sp._SK209-2-6	14082
Shewanella_amazonensis_SB2B	6599
Spongiibacter_tropicus_DSM_19543	11580
Syntrophus_aciditrophicus	3714
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	113039
Vibrio_proteolyticus_NBRC_13287	60714
gamma_proteobacterium_SCGC_AB-629-P17	19455
marine_gamma_proteobacterium_HTCC2143	94270
