Assembly	final.contigs
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	6599
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	2899
Total length	7229
Reference length	4306142
GC (%)	43.57
Reference GC (%)	53.59
N50	1362
N75	1333
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 4 part
Unaligned length	6283
Genome fraction (%)	0.011
Duplication ratio	1.996
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2531.65
# indels per 100 kbp	0.00
Largest alignment	158
Total aligned length	474
NGA50	-
