Assemblies                                         final.contigs
Aminobacter_sp._J41                                2257         
Bacillus_thuringiensis_BMB171                      -            
Blastopirellula_marina                             -            
Chromatocurvus_halotolerans                        44784        
Coraliomargarita_akajimensis_DSM_45221             2190         
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -            
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  5445         
Ilumatobacter_fluminis                             17225        
Ilumatobacter_nonamiensis_YM16-303                 8046         
Luminiphilus_syltensis_NOR5-1B                     12904        
Lutimaribacter_pacificus                           7698         
Oceanibaculum_pacificum                            925          
Oceanicola_granulosus_HTCC2516                     3511         
Photobacterium_halotolerans                        -            
Planctomyces_maris_DSM_8797                        89244        
Psychrobacter_sp._PRwf-1                           109683       
Psychroserpens_sp._PAMC_27130                      16895        
Roseobacter_sp._SK209-2-6                          2884         
Shewanella_amazonensis_SB2B                        2899         
Spongiibacter_tropicus_DSM_19543                   3836         
Syntrophus_aciditrophicus                          2234         
Thioalkalivibrio_sulfidiphilus_HL-EbGr7            37300        
Vibrio_proteolyticus_NBRC_13287                    56917        
gamma_proteobacterium_SCGC_AB-629-P17              4182         
marine_gamma_proteobacterium_HTCC2143              74564        
not_aligned                                        256554       
