Assembly	final.contigs
# contigs (>= 1000 bp)	20
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	66580
Total length (>= 5000 bp)	22432
Total length (>= 10000 bp)	12904
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	36
Largest contig	12904
Total length	78036
Reference length	3261541
GC (%)	52.22
Reference GC (%)	56.74
N50	2776
N75	1736
L50	7
L75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 28 part
Unaligned length	68458
Genome fraction (%)	0.169
Duplication ratio	1.735
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2790.36
# indels per 100 kbp	181.19
Largest alignment	1456
Total aligned length	6939
NGA50	-
