Assembly	final.contigs
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	32212
Total length (>= 5000 bp)	29461
Total length (>= 10000 bp)	29461
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	16895
Total length	36895
Reference length	3633537
GC (%)	33.27
Reference GC (%)	32.71
N50	12566
N75	12566
L50	2
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 7 part
Unaligned length	33929
Genome fraction (%)	0.043
Duplication ratio	1.903
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3014.75
# indels per 100 kbp	128.29
Largest alignment	654
Total aligned length	1881
NGA50	-
